Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1765272852977,3504,3504,3504,3504,3504,3504,3504,3504,33.64752960205078,33.587013244628906,32.28449249267578,32.512229919433594,32.65016555786133,32.62568664550781,32.48241424560547,33.29446029663086,32.88168716430664,0,0,33.333335876464844,0,0,0,0,0,9.713584899902344,8589934592,8589934592,6700089344,6985351168
204,1765272852978,3504,3504,3504,3504,3504,3504,3504,3504,33.64752960205078,33.587013244628906,32.28449249267578,32.512229919433594,32.65016555786133,32.62568664550781,32.48241424560547,33.29446029663086,32.88168716430664,0,0,NaN,NaN,NaN,0,0,0,9.713584899902344,8589934592,8589934592,6700253184,6985351168
203,1765272853183,3504,3504,3504,3504,3504,3504,3504,3504,33.64752960205078,33.587013244628906,32.28449249267578,32.512229919433594,32.65016555786133,32.62568664550781,32.48241424560547,33.29446029663086,32.88168716430664,42.85714340209961,38.095237731933594,33.333335876464844,23.809524536132813,20,30.000001907348633,0,0,8.268268585205078,8589934592,8589934592,6725779456,6985351168
202,1765272853386,3504,3504,3504,3504,3504,3504,3504,3504,33.64752960205078,33.587013244628906,32.28449249267578,32.512229919433594,32.65016555786133,32.62568664550781,32.48241424560547,33.29446029663086,32.88168716430664,55,50,36.842105865478516,45,45,45,25,18.18181800842285,8.268268585205078,8589934592,8589934592,6778257408,6968573952
202,1765272853589,3504,3504,3504,3504,3504,3504,3504,3504,39.926979064941406,39.7659797668457,37.235076904296875,37.883827209472656,34.980648040771484,34.79966354370117,34.72172546386719,35.867271423339844,35.316959381103516,80,75,80,75,65,42.105262756347656,20,5.263157844543457,8.268268585205078,8589934592,8589934592,6803537920,7008878592
202,1765272853792,3504,3504,3504,3504,3504,3504,3504,3504,39.926979064941406,39.7659797668457,37.235076904296875,37.883827209472656,34.980648040771484,34.79966354370117,34.72172546386719,35.867271423339844,35.316959381103516,65,55,47.619049072265625,45,33.333335876464844,22.72727394104004,4.761904716491699,0,8.268268585205078,8589934592,8589934592,6782812160,7010123776
204,1765272853994,3504,3504,3504,3504,3504,3504,3504,3504,39.926979064941406,39.7659797668457,37.235076904296875,37.883827209472656,34.980648040771484,34.79966354370117,34.72172546386719,35.867271423339844,35.316959381103516,50,47.619049072265625,40,35,9.523809432983398,0,0,0,8.268268585205078,8589934592,8589934592,6780796928,7013007360
204,1765272854199,3504,3504,3504,3504,3504,3504,3504,3504,39.926979064941406,39.7659797668457,37.235076904296875,37.883827209472656,34.980648040771484,34.79966354370117,34.72172546386719,35.867271423339844,35.316959381103516,76.19047546386719,65,57.142860412597656,50,0,0,0,0,8.53032112121582,8589934592,8589934592,6780796928,7025590272
204,1765272854404,3504,3504,3504,3504,3504,3504,3504,3504,39.926979064941406,39.7659797668457,37.235076904296875,37.883827209472656,34.980648040771484,34.79966354370117,34.72172546386719,35.867271423339844,35.316959381103516,38.095237731933594,35,30.000001907348633,27.272727966308594,15.000000953674316,5,5,0,8.53032112121582,8589934592,8589934592,6780796928,7047217152
204,1765272854609,3504,3504,3504,3504,3504,3504,3504,3504,36.549217224121094,36.69235610961914,34.98267364501953,35.420928955078125,35.66679382324219,35.11208724975586,35.36928176879883,35.911231994628906,35.6002197265625,36.842105865478516,33.333335876464844,35,26.3157901763916,0,0,0,0,8.53032112121582,8589934592,8589934592,6791888896,7047217152
200,1765272854814,3504,3504,3504,3504,3504,3504,3504,3504,36.549217224121094,36.69235610961914,34.98267364501953,35.420928955078125,35.66679382324219,35.11208724975586,35.36928176879883,35.911231994628906,35.6002197265625,52.38095474243164,50,42.85714340209961,38.095237731933594,9.523809432983398,0,0,0,8.53032112121582,8589934592,8589934592,6795116544,7047217152
204,1765272855016,3504,3504,3504,3504,3504,3504,3504,3504,36.549217224121094,36.69235610961914,34.98267364501953,35.420928955078125,35.66679382324219,35.11208724975586,35.36928176879883,35.911231994628906,35.6002197265625,30.000001907348633,20,15.000000953674316,15.000000953674316,0,0,0,0,8.53032112121582,8589934592,8589934592,6795804672,7047217152
203,1765272855220,3504,3504,3504,3504,3504,3504,3504,3504,36.549217224121094,36.69235610961914,34.98267364501953,35.420928955078125,35.66679382324219,35.11208724975586,35.36928176879883,35.911231994628906,35.6002197265625,14.285715103149414,19.047618865966797,10,5,0,0,0,0,13.481674194335938,8589934592,8589934592,6794428416,7047217152
204,1765272855424,3504,3504,3504,3504,3504,3504,3504,3504,36.549217224121094,36.69235610961914,34.98267364501953,35.420928955078125,35.66679382324219,35.11208724975586,35.36928176879883,35.911231994628906,35.6002197265625,21.052631378173828,21.052631378173828,26.3157901763916,19.047618865966797,0,0,0,0,13.481674194335938,8589934592,8589934592,6785400832,7047217152
204,1765272855629,3504,3504,3504,3504,3504,3504,3504,3504,34.68122482299805,34.6366081237793,33.165077209472656,33.507659912109375,33.8322639465332,33.690879821777344,33.8109130859375,34.30638885498047,34.290000915527344,19.047618865966797,18.18181800842285,14.285715103149414,10,5,0,0,0,13.481674194335938,8589934592,8589934592,6786269184,7047217152
204,1765272855834,3504,3504,3504,3504,3504,3504,3504,3504,34.68122482299805,34.6366081237793,33.165077209472656,33.507659912109375,33.8322639465332,33.690879821777344,33.8109130859375,34.30638885498047,34.290000915527344,23.809524536132813,15.789472579956055,19.047618865966797,25,4.761904716491699,19.047618865966797,0,0,13.481674194335938,8589934592,8589934592,6777241600,7047217152
204,1765272856039,3504,3504,3504,3504,3504,3504,3504,3504,34.68122482299805,34.6366081237793,33.165077209472656,33.507659912109375,33.8322639465332,33.690879821777344,33.8109130859375,34.30638885498047,34.290000915527344,52.6315803527832,47.619049072265625,40,45,4.761904716491699,0,0,0,13.481674194335938,8589934592,8589934592,6799474688,7049576448
